Date,Campaing_Name,Ad-group,Trip_id,Keyword,Impressions,Clicks,CTR,Cost,Conversion Rate
2024-01-15,Rodzinne wakacje,First Minute 2024,1,dla dzieci,45230,12450,"27,53","2150,50","18,45"
2024-02-20,Rodzinne wakacje,Last Minute 2024,1,rodzinne wakacje,38920,8830,"22,69","1875,30","15,20"
2024-03-10,Luksusowe podróże,Oferty Specjalne 2024,2,luksusowe podróże,52100,18650,"35,80","3250,75","22,10"
2024-03-25,Egzotyczne destynacje,Nowe Destynacje 2024,2,plaże,61500,25300,"41,14","2890,40","19,50"
2024-04-05,Przygoda i eksploracja,First Minute 2024,3,aktywne wakacje,48700,22100,"45,38","3850,20","25,30"
2024-04-20,Przygoda i eksploracja,All Inclusive 2024,3,sport,55300,28900,"52,26","4125,60","28,15"
2024-05-10,Rodzinne wakacje,Pakiety Wakacyjne 2024,4,rodzinne wakacje,42800,15200,"35,51","2320,45","16,80"
2024-05-25,Rodzinne wakacje,Last Minute 2024,4,dla dzieci,38600,12800,"33,16","2180,90","18,25"
2024-06-08,Wakacje budżetowe,Oferty Specjalne 2024,5,oferty specjalne,65200,31500,"48,31","1950,30","21,40"
2024-06-22,Wakacje dla par,First Minute 2024,5,romantyczne,28900,9650,"33,39","2680,50","19,75"
2024-07-15,Przygoda i eksploracja,Nowe Destynacje 2024,6,egzotyka,72300,35600,"49,24","4520,80","26,90"
2024-07-28,Egzotyczne destynacje,All Inclusive 2024,6,dzika przyroda,68500,29800,"43,50","3875,25","23,45"
2024-08-10,Relaks i wellness,Pakiety Wakacyjne 2024,7,spa,38700,16900,"43,67","2890,60","20,30"
2024-08-25,Luksusowe podróże,Last Minute 2024,7,5-gwiazdek,45800,19200,"41,92","3650,40","24,15"
2024-09-05,Egzotyczne destynacje,First Minute 2024,8,nieodkryte miejsca,58200,24700,"42,44","3280,90","21,80"
2024-09-20,Rodzinne wakacje,Oferty Specjalne 2024,8,dla dzieci,51900,22400,"43,16","2550,70","19,25"
2024-10-12,Wakacje budżetowe,Nowe Destynacje 2024,9,budżetowe wakacje,48300,20100,"41,61","1680,45","17,50"
2024-10-28,Wakacje dla par,All Inclusive 2024,9,relaks i wellness,35600,14800,"41,57","2890,30","20,85"
2024-11-08,Przygoda i eksploracja,Last Minute 2024,10,ekstremalne,62800,28900,"46,02","4280,50","27,40"
2024-11-22,Przygoda i eksploracja,Pakiety Wakacyjne 2024,10,przygoda,58700,26300,"44,80","3950,80","25,60"
2024-05-15,Relaks i wellness,First Minute 2024,7,joga,32500,13200,"40,62","2150,30","18,90"
2024-07-05,Wakacje dla seniorów,Oferty Specjalne 2024,7,spokojne wakacje,28900,10500,"36,33","1980,70","16,45"
2024-08-18,Wakacje z dziećmi,Nowe Destynacje 2024,4,animacje dla dzieci,45600,18900,"41,45","2320,80","20,10"
2024-09-12,Luksusowe podróże,All Inclusive 2024,2,wysoki standard,52300,21800,"41,68","3720,60","23,80"
2024-10-05,Egzotyczne destynacje,Pakiety Wakacyjne 2024,6,eksploracja,61200,26700,"43,63","3580,40","22,95"
2024-11-15,Rodzinne wakacje,Last Minute 2024,1,rodzinne wakacje,42100,16800,"39,90","2280,50","17,85"
2024-04-12,Wakacje dla par,Nowe Destynacje 2024,5,dla par,31800,11200,"35,22","2450,90","18,60"
2024-06-30,Relaks i wellness,Oferty Specjalne 2024,7,relaks i wellness,36900,15600,"42,28","2680,40","19,95"
2024-08-08,Wakacje budżetowe,First Minute 2024,9,oszczędne podróże,52700,23400,"44,40","1850,60","18,20"
2024-09-28,Przygoda i eksploracja,All Inclusive 2024,3,egzotyka,59800,27100,"45,32","4050,70","26,35"
